,Density
215,8.531082873952629
216,6.819902116702416
217,8.13499698391335
218,8.531082873952629
219,8.531082873952629
220,1.890482796445982
221,8.45130255666223
222,6.174175643155256
223,13.739982656141313
224,3.238075136040312
225,7.346076125461993
226,8.992261992634083
227,8.659658074883348
228,12.866724942620516
229,7.678458093920367
230,8.391053381201056
231,7.678458093920367
232,9.577962036382397
233,8.861241727538674
234,7.6700458287627855
235,3.514275003946846
236,7.678458093920367
237,7.6700458287627855
238,8.966420117980348
239,2.2323946293721395
240,5.918423188519555
241,1.6539887127725335
242,2.2323946293721395
243,6.277121815859259
244,4.355734203094505
245,7.299267338362029
246,15.32488967253261
247,11.2523261137824
248,7.299267338362029
249,5.4026328653483375
250,2.822996645282508
251,2.4492996659706723
252,1.4501723486994516
253,5.512442862572506
254,1.8932836520154899
255,6.30647551076169
256,4.643219253788701
257,6.011158843398716
258,3.294419596029741
259,4.661446331677652
260,3.1184241648690683
261,3.1184241648690683
262,3.1184241648690683
263,4.128914812768751
264,6.801107759541363
265,3.69571854764734
266,7.281172424861887
267,4.631116098144673
268,3.329718034442567
269,12.54495416030822
270,2.952824545666555
271,7.51663109373184
272,5.254436364126766
273,4.685387002914227
274,5.257280110964476
275,8.768805852561856
276,12.54495416030822
277,9.591030895038852
278,8.764686746318953
279,16.535021406009452
280,6.481326999368794
281,14.788464456887326
282,7.819808764414102
283,5.592318000069688
284,17.5636949866219
285,14.788464456887326
286,7.243879348082802
287,6.982522684911808
288,11.487973025485006
289,8.552004027095098
290,2.891789218001879
291,3.4083799309493217
292,9.664436997205712
293,3.0013124381029703
294,2.891789218001879
295,5.8179097689038635
296,3.5456351558520547
297,4.959333761894866
298,5.068743064356503
299,5.09621210507303
300,4.672360518373676
301,6.822468215699376
302,5.6433116182248115
303,7.350887804001312
304,3.244296730671884
305,11.902776489818685
306,4.309087358469546
307,10.474674087594373
308,3.3539637396281554
309,11.297917847865099
310,7.266076580325032
311,4.183212864868569
312,11.935084947740576
313,12.374102358719288
314,12.374102358719288
315,12.374102358719288
316,4.784632555323565
317,11.238164078920308
318,5.346488773136841
319,5.630456150727769
320,12.405670664966639
321,12.405670664966639
322,12.00553078963448
323,12.410358170182937
324,9.427722276773515
325,3.3517972165871885
326,7.310565304543239
327,5.238583989573788
328,4.445388440960803
329,7.92366317652893
330,7.187685317554166
331,7.954128745466168
332,7.5814752366333735
333,6.021095870706779
334,4.491099842978589
335,1.5213564020935064
336,7.768486468041948
337,6.0632190176015275
338,8.917357691883046
339,4.493556593552814
340,6.982522684911808
341,7.299267338362029
342,7.629897696688655
343,7.299267338362029
344,6.066309955221997
345,6.066309955221997
346,8.242291312429895
347,4.155887031195073
348,6.013801171265527
349,5.616861217679804
350,6.862875738341971
351,6.217829208120232
352,8.573120117457876
353,7.299267338362029
354,6.461750813570756
355,15.284145690946483
356,15.284145690946483
357,3.772124165149317
358,4.52417949904527
359,15.284145690946483
360,5.31484870869013
361,9.044485054887915
362,6.870057746986129
363,2.3798207128365987
364,4.263885608676368
365,15.284145690946483
366,9.265047497339463
367,8.396544653985357
368,8.549371644466563
369,6.217829208120232
370,3.890884236679333
371,4.677461403158296
372,12.169392371072997
373,11.567452371181387
