id,energy_above_hull,crystal_system,point_group
mp-1184914,0.021769733,Tetragonal,4/mmm
mp-1184916,0.650733161,Tetragonal,4/mmm
mp-1184912,0.582249485,Hexagonal,6/mmm
mp-1184913,0.61460745,Cubic,m-3m
mp-1184920,0.624711044,Cubic,m-3m
mp-1184919,0.025021755,Hexagonal,6/mmm
mp-1184925,0.67363334,Hexagonal,6/mmm
mp-1184921,0,Tetragonal,4/mmm
mp-1184923,1.14278568,Cubic,m-3m
mp-1184930,0.002507174,Tetragonal,4/mmm
mp-1184929,0.334486429,Hexagonal,6/mmm
mp-1184934,0.312130399,Tetragonal,4/mmm
mp-1184910,0.128277893,Hexagonal,6/mmm
mp-1184932,0.044425332,Hexagonal,6/mmm
mp-1184933,0.029145341,Cubic,m-3m
mp-1184935,0.151141172,Tetragonal,4/mmm
mp-1184938,0.970556818,Cubic,m-3m
mp-1184936,0.271128937,Cubic,m-3m
mp-1184939,0.498393395,Cubic,m-3m
mp-1184937,0.426479494,Cubic,m-3m
mp-1184940,0.084273743,Cubic,m-3m
mp-1184949,0.24744459,Cubic,m-3m
mp-1184948,0.27993576,Cubic,m-3m
mp-1184950,0.066308248,Cubic,m-3m
mp-1184953,0.42636193,Cubic,m-3m
mp-1184954,0.264954572,Cubic,m-3m
mp-1184943,0.142553596,Hexagonal,6/mmm
mp-1184956,0,Cubic,m-3m
mp-1184955,0,Cubic,m-3m
mp-1184945,0.271283582,Cubic,m-3m
mp-1184941,0.235651748,Cubic,m-3m
mp-1184942,0.364279868,Cubic,m-3m
mp-1184946,0.366328812,Cubic,m-3m
mp-1184944,0.260043716,Cubic,m-3m
mp-1184947,0.28925348,Cubic,m-3m
mp-1184951,0.011835274,Cubic,m-3m
mp-1184957,0.766270069,Cubic,m-3m
mp-1184961,0.183997104,Cubic,m-3m
mp-1184960,0.364153688,Cubic,m-3m
mp-1184959,0.506895039,Cubic,m-3m
mp-1184958,0,Cubic,m-3m
mp-1184962,0.114310302,Cubic,m-3m
mp-1184963,0.481067666,Cubic,m-3m
mp-1184965,0.130588801,Cubic,m-3m
mp-1184964,0.209033217,Cubic,m-3m
mp-1184966,0.002038575,Cubic,m-3m
mp-1184973,0.012154752,Cubic,m-3m
mp-1184969,0.019797996,Cubic,m-3m
mp-1184971,0.029301839,Cubic,m-3m
mp-1184972,0.002287905,Cubic,m-3m
mp-1184974,0.015573025,Cubic,m-3m
mp-1184970,0,Cubic,m-3m
mp-1184968,0.011806775,Cubic,m-3m
mp-1184976,0,Cubic,m-3m
mp-1184967,0.024356238,Cubic,m-3m
mp-1184975,0.097362335,Cubic,m-3m
mp-1184978,0,Cubic,m-3m
mp-1184979,0.02143515,Cubic,m-3m
mp-1184981,0.022079304,Cubic,m-3m
mp-1184982,0.0264531,Cubic,m-3m
mp-1184977,0.006882141,Cubic,m-3m
mp-1184980,0.069549652,Cubic,m-3m
mp-1184983,0.005046365,Cubic,m-3m
mp-1184984,0.171838367,Cubic,m-3m
mp-1184986,0.017334358,Cubic,m-3m
mp-1184985,0.002073299,Cubic,m-3m
mp-1184989,0,Cubic,m-3m
mp-1184992,0.402575458,Cubic,m-3m
mp-1184988,0.017406855,Cubic,m-3m
mp-1184997,0.00909801,Cubic,m-3m
mp-1184990,0.231919712,Cubic,m-3m
mp-1184987,0.1836033,Cubic,m-3m
mp-1184996,0.344283267,Cubic,m-3m
mp-1184995,0.040731068,Cubic,m-3m
mp-1184994,0.020495395,Cubic,m-3m
mp-1184991,0.001172318,Cubic,m-3m
mp-1184999,0,Cubic,m-3m
mp-1184993,0.122415225,Cubic,m-3m
mp-1185,0.01494909,Cubic,m-3m
mp-1184998,0.018359255,Cubic,m-3m
mp-1185000,1.049555939,Cubic,m-3m
mp-1185002,0.449322623,Cubic,m-3m
mp-1185004,0,Hexagonal,6/mmm
mp-1185003,0.584514034,Cubic,m-3m
mp-1185005,0.441207143,Cubic,m-3m
mp-1185006,0.104726159,Cubic,m-3m
mp-1185010,0.009393002,Cubic,m-3m
mp-1185009,0.038625025,Cubic,m-3m
mp-1185012,0,Cubic,m-3m
mp-1185013,0,Cubic,m-3m
mp-1185017,0.013627553,Cubic,m-3m
mp-1185011,0.150340921,Cubic,m-3m
mp-1185016,0.174957859,Cubic,m-3m
mp-1185021,0.002739823,Cubic,m-3m
mp-1185019,0.173647802,Cubic,m-3m
mp-1185014,0.014703429,Cubic,m-3m
mp-1185018,0.059657768,Cubic,m-3m
mp-1185024,0.028977247,Cubic,m-3m
mp-1185023,0.657802608,Cubic,m-3m
mp-1185025,0,Cubic,m-3m
mp-1185028,0.019565216,Cubic,m-3m
mp-1185020,0,Tetragonal,4/mmm
mp-1185027,0,Cubic,m-3m
mp-1185026,0.178432512,Cubic,m-3m
mp-1185007,0.0695213,Cubic,m-3m
mp-1185035,0,Tetragonal,4/mmm
