Composition,Density
Al1 Fe1 Rh2,8.787100445549703
Al1 Fe1 Ru2,0.7768846572416486
Al1 Fe1 Tc2,0.5054166379259585
Al1 Fe2,6.093348966420929
Al1 Fe2 B2,5.791994058763091
Al1 Fe2 Ge1,0.4528237311862831
Al1 Fe2 Mo1,7.741150964994515
Al1 Fe2 Ni1,6.944882454526565
Al1 Fe2 Si1,6.289050136508479
Al1 Fe2 W1,10.595547212608556
Al1 Fe3,6.647849572889001
Al1 Fe3 B1,6.105405143121323
Al1 Fe3 C1,6.473381531640895
Al1 Fe3 H1,6.501085531143387
Al1 Fe3 N1,6.737893041831554
Al1 Fe3 O1,5.0217736515980285
Al1 Fe4,6.955049356592048
Al1 Ga1 As2,4.332310284746595
Al1 Ga1 Co2,0.5748216976314825
Al1 Ga1 Cu2 S4,3.859674066956857
Al1 Ga1 Cu2 Se2 S2,4.476543572845931
Al1 Ga1 Cu2 Se4,5.019132513402924
Al1 Ga1 Ir2,1.1221025219885858
Al1 Ga1 N2,4.630279982767957
Al1 Ga1 Ni2,0.6025104288935254
Al1 Ga1 Ni6,8.203433794651996
Al1 Ga1 P2,3.159060128178272
Al1 Ga1 Pd2,0.6614652528685226
Al1 Ga1 Ru2,0.6963022423123616
Al1 Ga1 Sb2,4.681558123683967
Al1 Ga3,5.401337418950495
Al1 Ga3 N4,5.293715198628516
Al1 Ge1 Mo1,7.105681099592924
Al1 Ge1 Ru2,9.159919270444506
Al1 Ge3,5.427653196999068
Al1 H1 O2,0.3080496840663329
Al1 H3,1.459511166420553
Al1 In1 Ag2 S4,4.297734585710501
Al1 In1 Ag2 Se4,5.147794187247591
Al1 In1 B1,4.63098618567449
Al1 In1 Cu1 O4,5.5452647507242645
Al1 In1 Cu2 S4,4.059538012329766
Al1 In1 Cu2 Se4,5.115242565748683
Al1 In1 Ga1 Sb3,4.968221828656634
Al1 In1 N2,5.397905906023322
Al1 In1 O3,6.1486002611286406
Al1 In1 Sb2,4.815494686234951
Al1 Ir1,13.244937958176171
Al1 Ir1 O3,9.019509478935856
Al1 Mo1 O3,4.409089114959139
Al1 Mo3,8.470007673129778
Al1 N1,3.1928815143875897
Al1 N1 F4,2.38397446403449
Al1 Ni1,5.712371063731962
Al1 Ni1 F5,3.675852868538606
Al1 Ni1 Ge1,5.849290790531293
Al1 Ni1 O3,4.529178568321998
Al1 Ni1 Pt2,1.144512812579929
Al1 Ni1 Rh2,0.7252236924674759
Al1 Ni2,6.948461253065844
Al1 Ni2 As1,6.48053315730131
Al1 Ni3,7.448140171644868
Al1 Ni3 C1,6.712361824755088
Al1 Ni3 Sb1,7.432710255899237
Al1 Ni4 As3,7.082197406310816
Al1 Ni6 Ge1,8.369991205613657
Al1 Ni6 Pd1,8.632502143337234
Al1 O1,3.1824419169671163
Al1 O1 F3,2.969212059333338
Al1 O2,3.34037363811511
Al1 O3,2.106750624272028
Al1 O3 F3,2.0051307278717
Al1 Os1,13.121639371456048
Al1 P1,0.5283864986785564
Al1 P1 O4,2.0713903333080634
Al1 P1 Pt5,15.969300246788096
Al1 P1 S4,1.70984775351459
Al1 P2 S6,2.189409626462303
Al1 Pb1 O3,8.311042316450266
Al1 Pb3,9.2223507721332
Al1 Pd1,7.491359435392077
Al1 Pd3,9.622825410394643
Al1 Pd5 I2,7.73444748792278
Al1 Pt1,12.4042543511047
Al1 Pt3,16.826103594812515
Al1 Pt3 C1,14.140688509233518
Al1 Re1,12.276299972751705
Al1 Re1 Ge1,10.839345501009248
Al1 Re1 Si1,9.703823894807714
Al1 Re1 Tc2,0.9218750973216931
Al1 Re2,15.207200431275773
Al1 Rh1,7.9347519244194435
Al1 Rh3,9.84979607564759
Al1 Ru1,7.832534964691828
Al1 Ru2 W1,0.9367453309124072
Al1 Sb1,4.078412269278146
Al1 Sb1 O3,4.911471828166962
Al1 Sb1 O4,5.632514526292365
Al1 Si1,2.920306860855885
Al1 Si1 C1 N1,3.1803849836449025
Al1 Si1 Mo1,5.76772525188633
Al1 Si1 Mo6,8.628213716944135
Al1 Si1 Ni2,0.443174898655107
Al1 Si1 Ni6,7.76613682969555
Al1 Si1 O3,3.796389442753493
Al1 Si1 Pt6,16.915041446428795
Al1 Si1 Ru2,8.201259241145197
Al1 Si1 Tc2,0.5583753276683325
Al1 Si2 O6,2.165276351928956
Al1 Si3 W2,9.395586226151709
Al1 Sn1,4.793270592807986
Al1 Sn1 F5,3.731429730632264
Al1 Sn1 O3,4.890131134048122
Al1 Sn1 Ru2,0.671185819945509
Al1 Tc2,8.663480979545463
Al1 Tc2 Ge1,0.6422757138425419
Al1 Tc2 Mo1,0.7092541630482677
Al1 Tc2 Pb1,10.380449275594453
Al1 Tc2 Sb1,0.6681792596930055
Al1 Tc2 W1,0.8913558403239428
Al1 Tc3,9.18696124674635
Al1 Tl1 F4,5.761775532994147
Al1 Tl1 Fe2 F2,4.166754429455068
Al1 Tl1 O2,6.618871080493953
Al1 Tl1 Se2,5.885180658576794
Al1 V1,4.525185557749975
Al1 V1 Co2,6.81854337666623
Al1 V1 Cr1 C1,5.094632099567751
Al1 V1 Cr2,0.3819189850253857
Al1 V1 F5,3.263644536577369
Al1 V1 Fe1 Co1,6.801107759541363
Al1 V1 Fe2,6.288797404332348
Al1 V1 Ni1,4.9001144618731125
Al1 V1 Ni2,6.6729401042553365
Al1 V1 O3,3.742320545725786
Al1 V1 Os2,13.88221129826374
Al1 V1 Pt1,8.983501643288964
Al1 V1 Re2,1.041840470375667
Al1 V1 Ru2,8.575394573808968
Al1 V2,5.060291952263772
Al1 V2 C1,4.872389281960079
Al1 V2 Fe1,5.805536461345588
Al1 V2 W1,0.5760242163951405
Al1 V3,5.326066777883863
Al1 V6 Ga1,6.04413782018833
Al1 V6 Ge1,6.116798638273849
Al1 V6 Sb1,6.494104925610529
Al1 V6 Sn1,6.387969117117306
Al1 W1 C1,9.445064092661278
Al1 W1 C2,9.210403970809852
Al1 W1 F5,5.145118705444246
Al1 W1 O3,6.539337831097735
Al1 W1 O4,7.187899025398239
Al1 W2 C1,12.554269370297831
Al1 W3 C4,12.293106606732064
Al1 Zn1 Au2,0.9882242500721772
Al1 Zn1 Co2,0.5660946964101945
Al1 Zn1 Cu2,0.5420368862793987
Al1 Zn1 Cu3 Se4,5.325970543751921
Al1 Zn1 Ga1 S4,3.197086704335698
Al1 Zn1 Ir2,14.261102951562068
Al1 Zn1 Ni2,0.6162847501016978
Al1 Zn1 Pd2,0.6923384171556485
Al1 Zn1 Rh2,9.017765234130332
Al2 Au1,7.476904945279304
Al2 B2 Ru3,7.89156718664936
Al2 C1 O1,3.1719847160868366
Al2 Cd1 S4,3.0000152210401643
Al2 Cd1 Se4,4.257187857187697
Al2 Cd1 Te4,4.750712416975053
Al2 Co1 Ir1,9.846395986542834
Al2 Co1 Ni1,5.997869846349266
Al2 Co1 Os1,9.731906872824442
Al2 Co1 Rh1,0.5749709532508168
Al2 Co1 Ru1,6.959685518251793
Al2 Co1 Tc1,0.4626112502580661
Al2 Cr1 B2 Mo1,5.57491222041338
Al2 Cr1 Fe1,0.3700426114991766
Al2 Cr1 Fe1 Co4,7.137034879353089
Al2 Cr1 Ir1,0.662914923668528
Al2 Cr1 Tc1,0.4301970506859836
Al2 Cu1,4.004613179778768
Al2 Cu1 Ir1,0.7325105916387715
Al2 Cu1 Mo1,6.101619797630046
Al2 Cu1 Ni1,0.3986043149572448
Al2 Cu1 Pd1,0.5250346277943169
Al2 Cu1 Rh1,0.6060188965283264
Al2 Cu1 Tc1,0.5703982400721648
Al2 Fe1 Co1,5.955942971740328
Al2 Fe1 Cu1,0.38574278928761
Al2 Fe1 Ir1,9.665035141862957
Al2 Fe1 Ni1,5.904564256177336
Al2 Fe1 Pt1,0.7511719053456226
Al2 Fe1 Rh1,0.5535668447695636
Al2 Fe1 S4,2.861960634630913
Al2 Fe1 Tc1,0.4246885410557959
Al2 Hg1 S4,3.882167802914123
Al2 Hg1 Se4,5.0144689650166425
Al2 Hg1 Te4,5.371464354666746
Al2 Ir1 Os1,13.209460872420294
Al2 Ir1 Rh1,10.567764910704575
Al2 Ir1 Ru1,10.575964062844086
Al2 Ni1 Os1,9.656485953419496
Al2 Ni1 Pt1,0.5190666617247884
Al2 Ni1 Ru1,6.966921686835177
Al2 O1,2.520648916971109
Al2 O3,2.834676690914064
Al2 Os1,9.597862886389052
Al2 Os1 Pd1,0.5204355672422981
Al2 Os1 Pt1,1.013008041811483
Al2 Os1 Rh1,0.8407321322850042
Al2 Os1 Ru1,0.6288014048610701
Al2 Pd1,5.071368202211684
Al2 Pd1 Pt1,0.8140121899718193
Al2 Pd1 Ru1,7.836060881500245
Al2 Pt1,7.858008758661247
Al2 Ru1,6.098591757456369
Al2 Ru1 Pt1,10.46384156239788
Al2 Ru1 Rh1,7.905751475895368
Al2 Si4 Mo3,5.939778065376804
Al2 Sn1,3.800187770006927
Al2 Tc1 Au1,0.7441175784431855
Al2 Tc1 Ir1,0.7674307664145581
Al2 Tc1 Ni1,0.4689326262740626
Al2 Tc1 Pd1,0.5878254155862185
Al2 Tc1 Pt1,0.8093080409444315
Al2 Tc1 Rh1,0.5587502331743117
Al2 Tc2 O5,5.79679742338876
Al2 Te5,4.456917871194074
Al2 V1 Ir1,0.6589032884372646
Al2 W1,8.488351739360981
Al2 Zn1,4.125610221528406
Al2 Zn1 S4,2.717156408200313
Al2 Zn1 Se2 S2,3.406352502443508
Al2 Zn1 Se4,4.101047580833755
Al2 Zn1 Te4,4.705688467931012
Al2 Zn2 S5,3.1770012129718177
Al3 Ag1,4.6112324372586855
Al3 As1,3.6853986222098376
Al3 Au1,6.933301201630009
Al3 B1 N4,3.267975538097841
Al3 Cd1,4.328260596477741
Al3 Cr1,3.815305682119461
Al3 Cu1,3.9705585803335137
Al3 Cu2,4.630631527890153
Al3 Fe1,4.151306674196288
Al3 Ga1,3.7167553376674367
Al3 Ga1 N4,3.937986452360575
Al3 Ge1,3.715648585671171
Al3 Ge1 Pd4,8.026152996809866
Al3 H1,2.3179876952977247
Al3 Ir1,7.266572997560322
Al3 Ni2,4.767798907230983
Al3 Ni2 Pt1,8.3718783203596
Al3 Ni5,6.717313153937098
Al3 Os2,10.981229956906848
Al3 P1,2.858714855777335
Al3 Pd1,5.060168793949575
Al3 Pd2,5.997110471422851
Al3 Pt1,7.452115543021319
Al3 Pt2,9.60067115995248
Al3 Ru2,5.985448525409189
Al3 Si1 Pd4,7.600534887620268
