id,energy_above_hull,crystal_system,point_group
mp-754875,0.0,Tetragonal,-42m
mp-754892,0.041447582,Monoclinic,2/m
mp-754883,0.0,Trigonal,-3m
mp-754908,0.041462122,Cubic,m-3m
mp-754969,0.0,Tetragonal,4/mmm
mp-755008,0.041968618,Hexagonal,6mm
mp-755007,0.0,Monoclinic,2/m
mp-754945,0.038735032,Monoclinic,2/m
mp-755073,0.005067494,Orthorhombic,mm2
mp-755137,0.024534252,Monoclinic,2/m
mp-755117,0.019473802,Tetragonal,4/mmm
mp-755243,0.045451922,Hexagonal,6/mmm
mp-755263,0.0,Monoclinic,2
mp-755293,0.0,Tetragonal,4/mmm
mp-755297,0.039063403,Tetragonal,4/mmm
mp-755309,0.010208688,Hexagonal,-6m2
mp-755311,0.0,Trigonal,-3m
mp-755287,0.0,Tetragonal,-42m
mp-755328,0.0,Hexagonal,6/mmm
mp-755336,0.0,Monoclinic,2/m
mp-755340,0.0,Orthorhombic,mmm
mp-755419,0.0,Tetragonal,4/mmm
mp-755389,0.032746032,Orthorhombic,mm2
mp-755455,0.022449957,Trigonal,3m
mp-7555,0.0,Tetragonal,-42m
mp-755505,0.008403866,Trigonal,-3m
mp-755540,0.002048764,Trigonal,-3m
mp-755572,0.012309788,Tetragonal,4/mmm
mp-755671,0.013501878,Monoclinic,2/m
mp-755651,0.0,Trigonal,-3m
mp-755689,0.0,Orthorhombic,mmm
mp-755703,0.033209183,Monoclinic,2/m
mp-755586,0.0,Orthorhombic,mmm
mp-7558,0.0,Hexagonal,6/mmm
mp-755714,0.017670632,Tetragonal,4/mmm
mp-755756,0.0,Tetragonal,4/mmm
mp-755883,0.004029671,Tetragonal,4/mmm
mp-756,0.0,Tetragonal,4/mmm
mp-755713,0.0,Trigonal,-3m
mp-756006,0.0,Orthorhombic,mmm
mp-756315,0.047541074,Cubic,m-3m
mp-7562,0.0,Monoclinic,m
mp-756690,0.0,Trigonal,-3m
mp-756849,0.015399114,Hexagonal,6/mmm
mp-7565,0.049016021,Orthorhombic,mmm
mp-7570,0.0,Trigonal,-3m
mp-7569,0.0,Hexagonal,6/mmm
mp-757,0.0,Trigonal,-3m
mp-757021,0.0,Trigonal,-3m
mp-757056,0.045003853,Trigonal,-3
mp-7573,0.0,Trigonal,-3m
mp-757074,0.029202725,Trigonal,32
mp-7574,0.0,Trigonal,-3m
mp-7575,0.0,Orthorhombic,mmm
mp-7577,0.0,Cubic,23
mp-7582,0.014170474,Tetragonal,-42m
mp-758558,0.043189244,Cubic,m-3m
mp-758560,0.009439267,Trigonal,-3m
mp-758371,0.000832225,Monoclinic,2/m
mp-758741,0.026109465,Monoclinic,2/m
mp-7589,0.006495454,Tetragonal,4/mmm
mp-759,0.0,Cubic,m-3m
mp-759163,0.029655824,Tetragonal,-4
mp-7592,0.0,Monoclinic,2/m
mp-759286,0.02381456,Trigonal,3m
mp-7597,0.000949111,Tetragonal,4/mmm
mp-759804,0.033849842,Trigonal,-3m
mp-7598,0.0,Monoclinic,2/m
mp-759859,0.048520858,Trigonal,-3m
mp-759835,0.0,Orthorhombic,mmm
mp-760,0.0,Orthorhombic,mmm
mp-760375,0.0,Tetragonal,4mm
mp-760381,0.012686607,Cubic,-43m
mp-7604,0.0,Monoclinic,2/m
mp-760411,0.013547594,Tetragonal,4/mmm
mp-760418,0.018440473,Tetragonal,-4
mp-760417,0.0,Orthorhombic,mm2
mp-760415,0.005275664,Tetragonal,4/m
mp-760403,0.0,Monoclinic,2/m
mp-761,0.016673061,Orthorhombic,mmm
mp-7610,0.004956161,Tetragonal,-42m
mp-7608,0.0,Tetragonal,4/mmm
mp-7611,0.0,Orthorhombic,mmm
mp-762,0.0,Orthorhombic,mmm
mp-761501,0.021454486,Hexagonal,6/mmm
mp-763057,0.022993469,Monoclinic,2/m
mp-763,0.0,Orthorhombic,mmm
mp-7632,0.0,Monoclinic,2
mp-7639,0.0,Orthorhombic,mmm
mp-7643,0.0,Hexagonal,6/mmm
mp-7642,0.0,Hexagonal,6/mmm
mp-7650,0.0,Triclinic,1
mp-764,0.020292682,Hexagonal,6/mmm
mp-764744,0.001522515,Monoclinic,2/m
mp-7655,0.013935005,Orthorhombic,mmm
mp-765195,0.010803211,Orthorhombic,mmm
mp-7660,0.0,Orthorhombic,mmm
mp-766,0.0,Orthorhombic,mmm
mp-767,0.0,Hexagonal,-6m2
mp-768,0.0,Tetragonal,4/mmm
mp-768368,0.0,Orthorhombic,mmm
mp-7684,0.0,Tetragonal,4/mmm
mp-768305,0.018610665,Hexagonal,6/mmm
mp-768949,0.0,Trigonal,-3m
mp-769173,0.0,Trigonal,-3m
mp-7692,0.0,Cubic,m-3m
mp-769284,0.0,Hexagonal,6/mmm
mp-770,0.0,Tetragonal,4/mmm
mp-7704,0.0,Tetragonal,4/mmm
mp-7707,0.0,Trigonal,-3m
mp-770997,0.008600254,Monoclinic,2/m
mp-771,0.0,Tetragonal,4/mmm
mp-771648,0.0,Hexagonal,6/mmm
mp-7715,0.0,Tetragonal,4/mmm
mp-772295,0.0,Trigonal,-3m
mp-7738,0.0,Monoclinic,2/m
mp-773137,0.0,Tetragonal,-42m
mp-774,0.000540955,Hexagonal,6/mmm
mp-7739,0.026760856,Monoclinic,2/m
mp-774907,0.0,Monoclinic,2/m
mp-7752,0.0,Hexagonal,6/mmm
mp-7759,0.0,Cubic,m-3m
mp-776,0.0,Cubic,m-3m
mp-776532,0.024836214,Monoclinic,2/m
mp-776117,0.007041302,Hexagonal,6mm
mp-7770,0.0,Trigonal,-3m
mp-7771,0.0,Monoclinic,2/m
mp-7773,0.0,Trigonal,-3m
mp-7774,0.0,Trigonal,-3m
mp-777422,0.007930655,Trigonal,-3m
mp-777463,0.023342733,Hexagonal,-6m2
mp-778,0.000504448,Tetragonal,4/mmm
mp-778079,0.039825169,Trigonal,-3m
mp-7786,0.0,Tetragonal,4/mmm
mp-7801,0.0,Hexagonal,6/mmm
mp-7804,0.017694335,Trigonal,-3m
mp-7808,0.0,Trigonal,-3m
mp-782,0.0,Monoclinic,2/m
mp-7823,0.014597926,Monoclinic,2/m
mp-7829,0.0,Hexagonal,6/mmm
mp-7832,0.0,Trigonal,-3m
mp-7824,0.0,Trigonal,32
mp-784630,0.006155526,Hexagonal,-6m2
mp-7814,0.0,Trigonal,3m
mp-7849,0.0,Orthorhombic,mmm
mp-7825,0.003516133,Orthorhombic,mmm
mp-7859,0.0,Tetragonal,4/mmm
mp-7863,0.0,Orthorhombic,mmm
mp-7848,0.0,Tetragonal,-4
mp-784631,0.0,Trigonal,3m
mp-7875,0.0,Hexagonal,6mm
mp-786,0.0,Tetragonal,4/mmm
mp-7876,0.0,Hexagonal,6/mmm
mp-7857,0.0,Cubic,-43m
mp-7874,0.0,Tetragonal,4/mmm
mp-7877,0.0,Trigonal,-3m
mp-7878,0.0,Tetragonal,4/mmm
mp-7879,0.0,Tetragonal,4/mmm
mp-7881,0.0,Tetragonal,4/mmm
mp-7882,0.0,Tetragonal,4/mmm
mp-7880,0.0,Orthorhombic,mmm
mp-7883,0.024962779,Hexagonal,6/mmm
mp-7891,0.019570983,Tetragonal,4/mmm
mp-7892,0.0,Trigonal,3m
mp-7896,0.0,Orthorhombic,mmm
mp-7895,0.0,Trigonal,-3m
mp-7898,0.0,Tetragonal,-4
mp-7897,0.010463322,Hexagonal,6/mmm
mp-79,0.0,Tetragonal,-4
mp-790,0.0,Trigonal,-3m
mp-7903,0.0,Hexagonal,6/mmm
mp-7908,0.0,Tetragonal,-4
mp-7907,0.0,Tetragonal,-4
mp-7909,0.0,Hexagonal,6/mmm
mp-7906,0.0,Cubic,m-3m
mp-7914,0.0,Tetragonal,-4
mp-7910,0.0,Tetragonal,4/mmm
mp-7916,0.0,Monoclinic,2/m
mp-7927,0.028900335,Tetragonal,4/mmm
mp-7922,0.0,Orthorhombic,222
mp-7918,0.0,Tetragonal,4/mmm
mp-7917,0.0,Trigonal,-3
mp-7921,0.0,Tetragonal,4/m
mp-7928,0.0,Orthorhombic,mmm
mp-7929,0.0,Hexagonal,6/mmm
mp-7930,0.0,Orthorhombic,mmm
mp-7936,0.0,Hexagonal,-6m2
mp-7938,0.008581754,Hexagonal,6/mmm
mp-7937,0.0,Trigonal,3m
mp-7939,0.0,Hexagonal,6/mmm
mp-7948,0.030876715,Hexagonal,6/mmm
mp-7940,0.029043324,Tetragonal,4/mmm
mp-7942,0.0,Cubic,23
mp-7956,0.0,Trigonal,-3m
mp-7958,0.0,Hexagonal,6/mmm
mp-7961,0.0,Orthorhombic,mmm
mp-7959,0.0,Trigonal,-3m
mp-796,0.046077387,Tetragonal,4/mmm
mp-797,0.0,Cubic,m-3m
mp-7972,0.0,Cubic,m-3m
mp-7973,0.0,Trigonal,-3m
mp-7974,0.0,Trigonal,-3m
mp-7976,0.0,Hexagonal,6/mmm
mp-7979,0.0,Tetragonal,4/mmm
mp-7977,0.0,Trigonal,-3m
mp-7984,0.0,Trigonal,-3
mp-7988,0.0,Trigonal,-3m
mp-8,0.0,Hexagonal,6/mmm
mp-8001,0.015757608,Hexagonal,6/mmm
mp-801,0.011134654,Trigonal,-3m
