id,Density
mp-1228135,5.519316024
mp-1228126,7.959411154
mp-1214809,5.442555997
mp-23155,1.478388216
mp-11,5.540734384
mp-23218,4.24351572
mp-1228801,10.11721438
mp-1228758,9.468423329
mp-1228753,7.141666143
mp-1080831,9.89871752
mp-22079,9.196489436
mp-1228749,6.394883628
mp-2302,9.77548197
mp-15650,9.409153356
mp-2455,10.78808765
mp-20015,6.295913657
mp-6915,5.869564293
mp-766,8.051426796
mp-1077179,10.62790478
mp-1228991,9.462475909
mp-81,18.02565607
mp-505366,7.209653513
mp-32780,6.755789083
mp-27725,6.757826282
mp-1214760,5.456740404
mp-990238,4.393264785
mp-2793,8.223421519
mp-947,9.253936493
mp-3277,3.437809725
mp-23225,2.37830319
mp-23184,1.398672086
mp-23189,3.101461314
mp-1183252,15.3847701
mp-1890,8.476293815
mp-1228637,12.99079007
mp-2501,9.106683077
mp-4472,8.481290427
mp-984,1.956240949
mp-997617,15.95895684
mp-1479,2.952601818
mp-3589,2.653531538
mp-27724,1.611761233
mp-7424,9.523490139
mp-1077788,16.9853108
mp-567164,9.116520177
mp-7832,15.33150269
mp-1113,16.75971941
mp-2331,7.035996279
mp-2850,12.64795774
mp-1077,7.467945844
mp-1080111,5.760905143
mp-1228634,9.694701446
mp-1228631,12.32952494
mp-122,3.583054105
mp-11840,5.466174328
mp-7359,6.16447464
mp-1205318,7.242348579
mp-996990,6.557953356
mp-9899,5.705283828
mp-1086652,5.637314435
mp-1205316,6.215839293
mp-1079647,6.142612558
mp-16742,6.298244067
mp-1241,6.332370916
mp-7394,4.706044123
mp-569790,5.52152133
mp-13910,6.96715276
mp-8579,5.610697894
mp-555166,4.789230441
mp-569114,5.555595827
mp-7882,7.036637212
mp-1814,7.889923678
mp-13272,4.545636711
mp-1078453,4.664171228
mp-1207108,4.525273641
mp-13149,3.806505582
mp-571093,3.751107717
mp-1227950,4.751913454
mp-551,4.07968651
mp-1207061,4.741098749
mp-31059,4.638609226
mp-12863,3.580226975
mp-38394,4.576343581
mp-1903,3.425431948
mp-1077361,7.956711768
mp-9744,6.551416399
mp-9767,6.757652915
mp-8237,7.331796178
mp-9769,8.313245195
mp-568113,7.461447711
mp-4109,7.392183224
mp-15325,5.245541683
mp-570775,7.975963068
mp-997009,8.029159432
mp-30363,9.969493577
mp-30364,13.40152492
mp-12073,9.960610184
mp-7349,6.763416271
mp-954,4.281989038
mp-550751,4.003548342
mp-545783,7.540948199
mp-23201,9.146789767
mp-1100395,3.793230775
mp-23070,4.947718751
mp-1029375,3.498344538
mp-4559,4.125028993
mp-1227938,2.783603471
mp-753575,3.788666561
mp-979986,4.794335271
mp-757074,3.802275106
mp-1183332,2.252467954
mp-527,5.290471212
mp-1095151,5.882470652
